Name of Politician,Twitter Handle,Party Belongs to
ArvindKejriwal,ArvindKejriwal‏,AAP
Edappadi K Palaniswami,CMOTamilNadu ‏,AIADMK
Naveen Patnaik,Naveen_Odisha,Biju Janata Dal
Ravi Shankar Prasad,rsprasad,BJP
Arun Jaitley,arunjaitley,BJP
M Venkaiah,MVenkaiahNaidu,BJP
Uma Bharti,umasribharti,BJP
Rajnath Singh,rajnathsingh,BJP
Piyush Goyal,PiyushGoyal,BJP
Prakash Javadekar,PrakashJavdekar,BJP
Sushma Swaraj,SushmaSwaraj,BJP
Suresh Prabhu,sureshpprabhu,BJP
Smriti Irani,smritiirani,BJP
Narendra Modi,narendramodi,BJP
Nitin Gadkari,nitin_gadkari,BJP
Harsh Vardhan,drharshvardhan,BJP
Nirmala Sitharaman,nsitharaman,BJP
Rajyavardhan Rathore,Ra_THORe,BJP
Shivraj Chouhan,ChouhanShivraj,BJP
Vasundhara Raje,VasundharaBJP,BJP
Jitendra Singh,DrJitendraSingh,BJP
Jagadish Shettar ‏,JagadishShettar ‏,BJP
manohar Lal,mlkhattar,BJP
Vijay Rupani,vijayrupanibjp,BJP
Manohar Parrikar ‏,manoharparrikar ‏,BJP
Dr. Raman Singh,drramansingh,BJP
Sarbananda Sonwal,sarbanandsonwal,BJP
Pema Khandu ‏,PemaKhanduBJP ‏,BJP
Yogi Adityanath,myogiadityanath ‏,BJP
Naresh Bansal,nareshbansal14,BJP
Biplab Kumar Deb,BjpBiplab ‏,BJP
Radha Mohan Singh,RadhamohanBJP,BJP
Giriraj Singh,girirajsinghbjp,BJP
Ramlal,Ramlal,BJP
Shivprakash,shivprakashbjp,BJP
Anil Jain,aniljaindr,BJP
Sumitra Mahajan,S_MahajanLS,BJP
Sunil Deodhar,Sunil_Deodhar,BJP
Hardeep Singh Puri,HardeepSPuri,BJP
Khemchand Sharma,SharmaKhemchand,BJP
Om Prakash Mathur,OmMathur_bjp,BJP
Devendra Fadnavis,Dev_Fadnavis,BJP
Amit Shah,AmitShah,BJP
Pankaj Vyas,erpankajvyas,BJP
Trivendra Rawat,tsrawatbjp,BJP
Bhupendra Yadav,byadavbjp,BJP
Arun Singh,ArunSinghbjp,BJP
Kailash Vijayvergia,KailashOnline,BJP
G. Kishan Reddy,kishanreddybjp,BJP
